dependent_variable,factor1,factor2
0,a100-299,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
2,<100,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
1,a300-699,gRNA
4,<100,gRNA
2,a300-699,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
2,a700-1999,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
0,<100,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
3,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,a700-1999,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,<100,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,2000+,gRNA
1,a300-699,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
3,a700-1999,gRNA
1,a700-1999,gRNA
1,a100-299,gRNA
1,2000+,gRNA
0,a700-1999,gRNA
3,a700-1999,gRNA
0,a700-1999,gRNA
3,a300-699,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
1,a300-699,gRNA
2,a100-299,gRNA
3,a700-1999,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
1,<100,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
3,a100-299,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,2000+,gRNA
2,<100,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a100-299,gRNA
1,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
2,a700-1999,gRNA
3,a100-299,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
1,2000+,gRNA
1,a700-1999,gRNA
1,2000+,gRNA
2,a700-1999,gRNA
2,a700-1999,gRNA
3,a700-1999,gRNA
0,a100-299,gRNA
3,a100-299,gRNA
0,a300-699,gRNA
2,a700-1999,gRNA
2,2000+,gRNA
3,a100-299,gRNA
2,a700-1999,gRNA
2,a100-299,gRNA
0,a100-299,gRNA
2,a100-299,gRNA
1,a700-1999,gRNA
1,<100,gRNA
0,<100,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
1,<100,gRNA
0,<100,gRNA
2,a100-299,gRNA
0,2000+,gRNA
5,a700-1999,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
5,a300-699,gRNA
1,<100,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
1,a300-699,gRNA
8,a300-699,gRNA
